template,engine,theme,byte_size,byte_budget_max,outcome
email-change-confirmation,chromium,light,43269,100000,pass
email-change-confirmation,chromium,dark,43269,100000,pass
email-change-confirmation,webkit,light,59466,100000,pass
email-change-confirmation,webkit,dark,59466,100000,pass
email-change-notification,chromium,light,49327,100000,pass
email-change-notification,chromium,dark,49327,100000,pass
email-change-notification,webkit,light,66784,100000,pass
email-change-notification,webkit,dark,66784,100000,pass
email-changed,chromium,light,35218,100000,pass
email-changed,chromium,dark,35218,100000,pass
email-changed,webkit,light,50473,100000,pass
email-changed,webkit,dark,50473,100000,pass
password-changed,chromium,light,44894,100000,pass
password-changed,chromium,dark,44894,100000,pass
password-changed,webkit,light,61014,100000,pass
password-changed,webkit,dark,61014,100000,pass
deletion-scheduled,chromium,light,47971,100000,pass
deletion-scheduled,chromium,dark,47971,100000,pass
deletion-scheduled,webkit,light,63983,100000,pass
deletion-scheduled,webkit,dark,63983,100000,pass
deletion-cancelled,chromium,light,32747,100000,pass
deletion-cancelled,chromium,dark,32747,100000,pass
deletion-cancelled,webkit,light,47454,100000,pass
deletion-cancelled,webkit,dark,47454,100000,pass
deletion-finalized,chromium,light,34393,100000,pass
deletion-finalized,chromium,dark,34393,100000,pass
deletion-finalized,webkit,light,48382,100000,pass
deletion-finalized,webkit,dark,48382,100000,pass
